id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
74237,1999.pkl,high school,M,SC,PFL,Sul,other,,40-50
74238,1999.pkl,other,M,PR,PMDB,Sul,other,,50-60
74240,1999.pkl,other,M,AC,PPB,Norte,other,,50-60
74243,1999.pkl,undergraduate,M,RS,PMDB,Sul,judge/lawyer/prosecutor,,30-40
74248,1999.pkl,high school,F,RN,PMDB,Nordeste,other,,40-50
74291,1999.pkl,undergraduate,M,CE,PSDB,Nordeste,other,BRANCA,40-50
74295,1999.pkl,other,M,CE,PCdoB,Nordeste,other,PARDA,40-50
74297,1999.pkl,other,M,CE,PPB,Nordeste,other,,60-70
74298,1999.pkl,other,M,CE,PT,Nordeste,other,,40-50
74300,1999.pkl,undergraduate,M,CE,PMDB,Nordeste,engineer/architect,,40-50
74301,1999.pkl,other,M,CE,PSDB,Nordeste,other,,50-60
74303,1999.pkl,undergraduate,M,CE,PPS,Nordeste,dentist/medic,,40-50
74304,1999.pkl,other,M,CE,PMDB,Nordeste,other,,50-60
74305,1999.pkl,other,M,CE,PFL,Nordeste,other,PARDA,50-60
74306,1999.pkl,undergraduate,M,CE,PSDB,Nordeste,dentist/medic,,40-50
74307,1999.pkl,other,M,CE,PSDB,Nordeste,other,,50-60
74308,1999.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,60-70
74312,1999.pkl,undergraduate,M,PI,PSDB,Nordeste,dentist/medic,,50-60
74313,1999.pkl,undergraduate,M,PI,PFL,Nordeste,other,,0-30
74316,1999.pkl,other,M,PI,PMDB,Nordeste,other,,40-50
74319,1999.pkl,other,M,PI,PFL,Nordeste,other,BRANCA,60-70
74321,1999.pkl,other,M,RN,PFL,Nordeste,other,BRANCA,40-50
74324,1999.pkl,undergraduate,M,RN,PMDB,Nordeste,other,BRANCA,40-50
74325,1999.pkl,other,M,RN,PPB,Nordeste,other,,50-60
74326,1999.pkl,other,M,RN,PMDB,Nordeste,other,,50-60
74327,1999.pkl,other,M,RN,PFL,Nordeste,other,,50-60
74328,1999.pkl,other,M,PB,PFL,Nordeste,other,,60-70
74329,1999.pkl,undergraduate,M,MG,PFL,Sudeste,other,,30-40
74333,1999.pkl,undergraduate,M,PR,PTB,Sul,dentist/medic,,50-60
74337,1999.pkl,other,M,BA,PFL,Nordeste,other,PARDA,40-50
74339,1999.pkl,other,M,RJ,PT,Sudeste,other,,50-60
74340,1999.pkl,high school,M,RR,PPS,Norte,other,BRANCA,30-40
74341,1999.pkl,undergraduate,M,RR,PPB,Norte,other,PARDA,40-50
74342,1999.pkl,undergraduate,M,AP,PSDB,Norte,accountant,,30-40
74343,1999.pkl,other,M,AP,PFL,Norte,other,,40-50
74344,1999.pkl,other,M,AP,PTB,Norte,other,BRANCA,40-50
74345,1999.pkl,undergraduate,M,AP,PSB,Norte,social scientist/historian,PRETA,30-40
74346,1999.pkl,other,M,AP,PMDB,Norte,other,BRANCA,40-50
74347,1999.pkl,other,M,PA,PFL,Norte,other,,50-60
74348,1999.pkl,no education,M,PA,PT,Norte,other,,40-50
74349,1999.pkl,other,M,PA,PT,Norte,other,PARDA,40-50
74350,1999.pkl,other,M,PA,PMDB,Norte,other,,60-70
74351,1999.pkl,other,M,PA,PTB,Norte,other,BRANCA,50-60
74352,1999.pkl,other,M,PA,PSDB,Norte,other,PARDA,40-50
74353,1999.pkl,other,M,PA,PTB,Norte,other,,30-40
74354,1999.pkl,undergraduate,M,PA,PSDB,Norte,other,,30-40
74355,1999.pkl,other,M,AM,PFL,Norte,other,,40-50
74356,1999.pkl,high school,M,AM,PL*,Norte,other,PARDA,30-40
74357,1999.pkl,undergraduate,F,AM,PCdoB,Norte,other,BRANCA,30-40
74358,1999.pkl,undergraduate,M,RO,PDT,Norte,judge/lawyer/prosecutor,BRANCA,0-30
74359,1999.pkl,high school,M,RO,PTB,Norte,other,BRANCA,30-40
74360,1999.pkl,undergraduate,M,RO,PSDB,Norte,dentist/medic,,40-50
74361,1999.pkl,other,M,AC,S.PART.,Norte,other,,40-50
74362,1999.pkl,other,M,AC,PSDB,Norte,other,,50-60
